2011	14	Arizona Cardinals	$72,857,750	$54,029,859	$130,397,609
2011	19	Atlanta Falcons	$70,609,951	$49,470,572	$124,149,473
2011	10	Baltimore Ravens	$57,146,609	$70,507,895	$133,544,504
201127	Buffalo Bills	$38,743,789	$70,142,585	$113,088,041
20112	Carolina Panthers	$76,448,447	$63,998,930	$146,959,877
201122	Chicago Bears	$49,231,833	$63,562,204	$118,429,037
201129	Cincinnati Bengals	$49,380,920	$60,860,708	$111,962,878
201130	Cleveland Browns	$51,408,259	$48,610,741	$104,629,833
201120	Dallas Cowboys	$56,741,243	$59,832,630	$120,944,456
201131	Denver Broncos	$34,037,488	$60,800,582	$98,679,070
20113	Detroit Lions	$76,522,487	$62,907,293	$142,837,780
20118	Green Bay Packers	$67,572,838	$65,711,020	$137,295,191
201112	Houston Texans	$63,449,009	$62,980,626	$132,307,135
201126	Indianapolis Colts	$60,981,152	$50,852,750	$115,352,569
201121	Jacksonville Jaguars	$56,052,339	$59,696,571	$118,748,910
201115	Kansas City Chiefs	$52,134,914	$72,697,898	$130,010,312
201117	Miami Dolphins	$53,543,145	$69,739,616	$127,070,261
20114	Minnesota Vikings	$71,068,032	$65,651,482	$142,107,371
201113	New England Patriots	$67,425,443	$60,620,820	$132,158,209
201128	New Orleans Saints	$55,843,598	$53,494,843	$112,782,191
201111	New York Giants	$65,387,174	$64,728,284	$133,465,458
20119	New York Jets	$67,377,790	$67,992,929	$136,774,666
20117	Oakland Raiders	$54,692,734	$76,328,377	$140,204,444
20116	Philadelphia Eagles	$68,839,549	$70,415,821	$141,228,899
20111	Pittsburgh Steelers	$67,603,426	$85,869,552	$158,374,978
20115	San Diego Chargers	$82,891,740	$53,259,339	$142,028,936
201116	San Francisco 49ers	$64,532,592	$59,991,220	$129,767,978
201125	Seattle Seahawks	$63,941,788	$51,430,996	$117,297,118
201123	St. Louis Rams	$67,458,053	$45,488,897	$117,369,783
201132	Tampa Bay Buccaneers	$46,879,620	$41,889,126	$95,101,246
201124	Tennessee Titans	$67,884,680	$45,137,297	$117,320,102
201118	Washington Redskins	$53,098,352	$69,984,829	$125,699,431
20111	Philadelphia Eagles	$90,903,767	$69,442,204	$162,681,000
20112	San Francisco 49ers	$71,277,216	$78,843,127	$157,581,176
20113	Detroit Lions	$78,511,793	$73,532,242	$155,834,035
20114	Kansas City Chiefs	$66,857,565	$81,290,454	$153,325,519
20115	New Orleans Saints	$78,720,859	$66,042,568	$151,510,927
20116	New York Jets	$71,976,251	$74,688,175	$148,781,093
20117	Pittsburgh Steelers	$62,313,603	$81,007,808	$147,255,578
20118	Dallas Cowboys	$64,840,964	$78,813,312	$146,360,109
20119	Carolina Panthers	$69,933,924	$73,624,236	$146,165,747
201110	Arizona Cardinals	$74,099,979	$67,515,646	$145,457,292
201111	San Diego Chargers	$79,253,815	$54,729,836	$140,716,508
201112	Baltimore Ravens	$55,954,432	$80,947,449	$140,421,881
201113	Buffalo Bills	$60,164,239	$74,660,447	$139,663,827
201114	Atlanta Falcons	$66,776,536	$67,060,804	$137,527,123
201115	Chicago Bears	$69,028,979	$62,010,986	$137,480,798
